kegg_pathways	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
ko03018: RNA degradation	0.00798607	0.00781319	0.00805604	0.00740725	0.00721963	0.00730731	0.00741962	0.00759433	0.00740534	0.00791967	0.00789628	0.00791807	0.00809372	0.0071788	0.00816908	0.00750952	0.0076902	0.00758791	0.00776485	0.00795745	0.00784404	0.00832214	0.00760318	0.00792484	0.00729053	0.00791323	0.00734061	0.00845569	0.0073841	0.00748233	0.00728255	0.0076577	0.00747028	0.0077695	0.00742272	0.00713775	0.00700855	0.00800192	0.00734781	0.0070502	0.00730009	0.00808489	0.00781151	0.00691943	0.00795973	0.00823468	0.00855407	0.00754443	0.00741854	0.00835313	0.00717401	0.00742346	0.00710402	0.00676834	0.00767686	0.00815174	0.00717279	0.00774402	0.00839222	0.00761021	0.00775594	0.0075397	0.00794334	0.00820754	0.00780208	0.00735369	0.00686489	0.00739924	0.0074403	0.0072357	0.00745902	0.00724675	0.0080535	0.00756449	0.00811942	0.00753498	0.00738237	0.00780138	0.00703543	0.00765778	0.00806088	0.00778624	0.0084706	0.00772762	0.00796236	0.00739425	0.00707595	0.00783162	0.00847469
ko03020: RNA polymerase	0.00765254	0.00741304	0.00769245	0.00689217	0.00706629	0.00745791	0.00767985	0.0071576	0.0063679	0.00728498	0.00778854	0.00797358	0.00797012	0.00645589	0.00855868	0.00782504	0.00714606	0.00684903	0.00768344	0.0074784	0.00767426	0.00841348	0.00730129	0.00743627	0.00761441	0.00868548	0.00709591	0.00942422	0.00688458	0.00638068	0.00542834	0.00674417	0.00666774	0.00718252	0.00711117	0.00698532	0.00591071	0.00715774	0.00747029	0.00673425	0.00698486	0.00773096	0.00781432	0.00652276	0.00793378	0.00717883	0.00791087	0.00709338	0.00682665	0.00854822	0.00647199	0.00624925	0.00673926	0.00674747	0.00682735	0.00811425	0.00717008	0.00703988	0.00760318	0.00669432	0.00742636	0.00696335	0.00581941	0.00742058	0.00805547	0.00662492	0.00625772	0.00698788	0.00766619	0.00715585	0.00725757	0.00791203	0.00636404	0.00771207	0.00852391	0.00756205	0.00682538	0.00809541	0.00666569	0.00694604	0.00823249	0.00708096	0.00853636	0.00759007	0.00746123	0.00653439	0.0068954	0.00635508	0.00932542
ko03022: Basal transcription factors	3.03083e-05	2.91011e-05	2.83235e-05	2.80344e-05	2.2194e-05	5.3616e-05	0.000305398	3.08408e-05	3.55395e-05	1.1802e-05	3.58413e-05	3.5168e-05	4.17246e-05	5.90057e-05	2.9702e-05	0.000204618	4.45558e-05	7.12548e-06	4.4585e-05	2.62758e-05	7.08441e-06	6.75183e-05	1.76401e-05	2.8981e-05	4.19796e-06	0.00023423	3.05352e-05	9.61916e-05	3.84515e-05	2.37913e-05	1.85462e-05	1.97697e-05	1.95209e-05	2.4466e-05	3.16727e-05	1.82006e-05	4.95736e-05	2.80662e-05	6.08589e-05	2.69721e-05	6.39368e-06	2.30869e-05	3.05188e-05	4.69557e-05	6.25712e-05	1.37077e-05	6.22003e-05	6.88985e-05	2.7757e-05	1.833e-05	2.68072e-05	1.33886e-05	1.10178e-05	3.77604e-05	1.31045e-05	5.82614e-05	1.00413e-05	1.32682e-05	2.99801e-05	3.19712e-05	3.68575e-05	0.000127383	1.25687e-05	2.55769e-05	4.03866e-05	2.03499e-05	1.7601e-05	6.04275e-05	0.000143753	3.20628e-05	0.000115308	4.53142e-05	7.43516e-05	2.79116e-05	7.81109e-05	1.82451e-05	4.09916e-05	0.00078938	3.40678e-05	2.51493e-05	4.508e-05	6.52414e-05	0.000236252	2.82442e-05	2.10058e-05	1.10262e-05	2.73974e-05	4.5355e-05	8.15181e-05
ko03030: DNA replication	0.0135086	0.0137396	0.0137287	0.0128272	0.0128981	0.0128292	0.0140221	0.0135498	0.0125443	0.013569	0.0140822	0.0145438	0.0135986	0.0133686	0.0145475	0.0128253	0.0141826	0.0137504	0.014074	0.0140274	0.0136013	0.0144948	0.0129422	0.0131961	0.013556	0.0143031	0.0134936	0.0154806	0.0131902	0.0123276	0.0118033	0.0134698	0.0133952	0.0130823	0.0131715	0.013765	0.0124913	0.0138538	0.0129806	0.0122937	0.0129398	0.0140868	0.0138785	0.0131076	0.0141487	0.0135296	0.0140648	0.0133074	0.0129816	0.014528	0.0128518	0.0133454	0.0125353	0.0144327	0.0135767	0.013956	0.0128301	0.0122621	0.0142515	0.0122579	0.013354	0.0136894	0.013931	0.0146289	0.0142387	0.0124382	0.0129901	0.0130519	0.0140401	0.0134921	0.0136336	0.0131884	0.0146113	0.01367	0.0143471	0.0135572	0.0130292	0.012839	0.0130747	0.0128686	0.0139682	0.0123914	0.0134314	0.0131849	0.0132929	0.0123794	0.0133049	0.01378	0.0157502
ko03040: Spliceosome	8.79844e-05	7.41581e-05	6.10398e-05	6.0472e-05	7.71069e-05	9.78682e-05	0.000136625	9.70253e-05	6.46972e-05	8.85196e-05	8.41483e-05	0.000124896	8.67878e-05	7.52479e-05	9.42394e-05	8.39754e-05	6.06775e-05	7.19646e-05	9.54137e-05	6.52359e-05	7.12131e-05	8.36187e-05	6.54472e-05	6.66578e-05	8.4919e-05	0.000108709	6.45741e-05	0.000134657	8.35262e-05	9.14628e-05	7.01114e-05	9.16789e-05	6.83022e-05	9.13899e-05	6.5517e-05	0.000126158	6.7766e-05	9.67884e-05	5.44113e-05	9.13756e-05	6.00117e-05	0.00013914	8.43946e-05	7.12704e-05	8.78703e-05	8.13982e-05	9.46111e-05	8.11637e-05	4.58901e-05	7.00132e-05	9.52953e-05	5.82829e-05	8.12078e-05	5.18791e-05	6.03501e-05	7.78529e-05	8.91285e-05	7.39004e-05	0.000100393	8.82296e-05	6.38214e-05	0.000110867	0.00012342	6.32115e-05	8.60101e-05	7.00501e-05	8.49306e-05	7.89135e-05	0.000118706	8.61544e-05	0.000106866	7.37741e-05	0.000152645	9.90217e-05	6.5174e-05	5.95724e-05	8.29321e-05	0.000110126	9.00308e-05	5.35973e-05	4.87369e-05	8.53815e-05	0.000124154	6.4536e-05	7.54472e-05	8.42958e-05	8.54501e-05	0.000189818	8.16487e-05
ko03050: Proteasome	7.09659e-05	6.92208e-05	9.45716e-05	6.11122e-05	5.12918e-05	6.70338e-05	0.000213404	9.93872e-05	4.9964e-05	7.68413e-05	8.7502e-05	0.000114244	7.93824e-05	5.39646e-05	4.88825e-05	0.000152323	6.69299e-05	4.28247e-05	9.60555e-05	0.000103132	6.14048e-05	0.000105149	5.14355e-05	0.000104652	7.40098e-05	0.000129445	7.3118e-05	9.00054e-05	6.37096e-05	5.5844e-05	5.02457e-05	7.08722e-05	6.50239e-05	8.37411e-05	6.39295e-05	9.36928e-05	4.87467e-05	9.08955e-05	7.62908e-05	5.17318e-05	8.58387e-05	0.00012031	0.00011096	4.385e-05	0.000100982	7.30258e-05	0.000108757	0.000106322	4.8997e-05	7.68707e-05	4.86037e-05	6.60765e-05	4.98127e-05	6.65043e-05	5.86793e-05	8.04845e-05	5.71294e-05	5.94874e-05	0.000111476	9.94711e-05	6.64157e-05	8.14957e-05	0.000113728	0.000248963	7.84041e-05	7.66709e-05	4.91161e-05	5.35287e-05	8.84227e-05	5.35154e-05	8.52274e-05	0.000110101	0.000118483	9.59012e-05	0.000101952	6.77269e-05	6.74672e-05	0.000505468	6.25981e-05	5.66127e-05	7.30819e-05	8.50661e-05	0.000173054	5.41629e-05	8.21262e-05	4.15971e-05	6.12605e-05	0.000160464	0.00015017
ko03060: Protein export	0.0171734	0.0165473	0.0163742	0.0165756	0.0163847	0.0161809	0.0151598	0.0163527	0.0153519	0.015991	0.0146426	0.0164545	0.0153256	0.0148924	0.0188378	0.0160806	0.0154458	0.0170335	0.0152239	0.0151553	0.0164922	0.0169359	0.0158204	0.0153687	0.0169255	0.0162209	0.0159036	0.0165512	0.0158198	0.0152	0.0130265	0.0158136	0.0157144	0.0149583	0.0157012	0.0162028	0.0156587	0.0148113	0.0166162	0.0154359	0.0149712	0.0135772	0.0167456	0.0165679	0.016382	0.0148669	0.0162728	0.0164429	0.0159137	0.0168024	0.0150266	0.0149057	0.0157389	0.0141026	0.015113	0.0154099	0.0174265	0.014736	0.0173134	0.014119	0.0164365	0.0147404	0.0118793	0.0174163	0.0160494	0.0150424	0.0157204	0.0169269	0.0170812	0.016275	0.0158992	0.0159047	0.0137362	0.0163953	0.0151754	0.0145468	0.0152181	0.0162381	0.0169594	0.0173082	0.0157839	0.0168109	0.0162832	0.0174588	0.0154481	0.0167698	0.0155934	0.0125061	0.0174611
ko03070: Bacterial secretion system	0.00980518	0.00928441	0.0101921	0.00921651	0.00933296	0.0099263	0.00924084	0.00949798	0.00805151	0.00984736	0.00806756	0.0104628	0.00945224	0.00895385	0.0107268	0.00993282	0.0086898	0.00932887	0.00905767	0.00904296	0.00881398	0.0101435	0.00941305	0.00906943	0.00988628	0.00994926	0.00891188	0.00965528	0.00878369	0.00856027	0.0102733	0.00902757	0.00836113	0.00849563	0.00890462	0.00909846	0.0082179	0.00909283	0.0106827	0.00844234	0.0085479	0.00970723	0.0102684	0.0129629	0.00978462	0.00854739	0.00969113	0.00932442	0.00841979	0.00960445	0.00811411	0.00799526	0.00845219	0.00852619	0.00840812	0.00975555	0.00984245	0.00801467	0.00923531	0.00906541	0.0093057	0.00926248	0.00817125	0.00961336	0.00932321	0.00843422	0.00889621	0.00959637	0.00985852	0.0095431	0.00899185	0.0104458	0.00904833	0.0102456	0.00954284	0.0082667	0.00970531	0.0101929	0.0088789	0.00922095	0.00907855	0.00904633	0.00962324	0.00960122	0.00918603	0.00912717	0.00889315	0.00747402	0.0106285
ko03320: PPAR signaling pathway	6.08634e-07	3.64295e-06	3.77002e-06	1.40155e-06	1.71975e-08	6.72612e-06	1.99915e-06	3.14229e-06	1.19196e-07	1.77642e-06	3.84232e-08	2.48517e-06	1.87665e-06	1.2244e-07	1.36498e-06	1.56819e-06	4.30669e-07	2.45551e-07	1.10809e-06	1.89697e-06	3.79822e-06	1.6749e-06	1.50935e-06	1.9441e-06	5.6787e-06	2.74997e-07	5.45895e-08	1.9672e-06	4.52493e-07	9.94103e-07	1.22772e-06	5.02065e-07	7.50441e-07	1.18768e-06	1.44196e-07	5.93971e-06	2.11458e-07	3.3606e-06	4.42573e-06	1.41896e-06	6.60207e-07	3.20616e-07	4.70323e-06	6.35805e-06	4.29884e-07	4.83419e-07	2.44299e-06	1.85743e-06	0	6.40877e-08	3.58836e-07	1.57756e-07	2.08173e-07	1.2507e-06	6.80863e-07	1.81134e-06	7.1473e-07	3.21146e-07	5.22129e-07	4.37607e-06	3.79741e-06	1.15049e-06	2.13207e-06	8.10796e-07	1.43803e-06	1.18236e-06	1.45007e-06	2.08674e-07	4.65215e-06	0	7.15361e-07	1.53396e-06	2.41908e-06	7.41801e-07	6.01538e-06	4.81731e-08	2.01435e-06	2.1828e-06	1.34051e-06	5.05287e-08	2.20409e-06	7.42104e-07	4.76087e-06	1.11263e-06	8.85537e-07	1.67862e-07	5.26939e-06	2.82916e-06	3.95598e-06
ko03410: Base excision repair	0.0109352	0.0112913	0.0110943	0.0109097	0.0106771	0.0105781	0.0123785	0.011219	0.0108955	0.0112775	0.0107175	0.0115617	0.0117983	0.0124659	0.0108348	0.0116546	0.0111096	0.011459	0.0116802	0.0111961	0.0102532	0.0119133	0.0102731	0.010504	0.0108605	0.0125221	0.0111745	0.012438	0.0106192	0.0103554	0.0100179	0.0111525	0.0104306	0.0104561	0.0107693	0.011844	0.00956813	0.0110842	0.010308	0.010477	0.0106356	0.0121264	0.0105197	0.0102092	0.0113885	0.0104661	0.0114104	0.0103847	0.010109	0.0109987	0.0103248	0.0107483	0.0102304	0.011492	0.0106722	0.0116556	0.0111009	0.00985442	0.0102753	0.00983084	0.0112329	0.0117309	0.0114763	0.0114388	0.011096	0.0104587	0.0113735	0.010772	0.0106477	0.0111077	0.0117245	0.0110291	0.0118993	0.011286	0.0114216	0.0110364	0.0101672	0.0131693	0.0104639	0.0113503	0.0109244	0.0115563	0.0115357	0.0110015	0.0105328	0.0116198	0.0121459	0.0120058	0.0125357
ko03420: Nucleotide excision repair	0.00901323	0.00902018	0.00891914	0.0084184	0.00827051	0.00833389	0.00923751	0.00830897	0.00803575	0.00849497	0.00866555	0.00981975	0.00945675	0.00796942	0.00882943	0.00874431	0.00834026	0.00787346	0.00913605	0.00889553	0.00894552	0.0106001	0.00787904	0.00868692	0.00875999	0.0097057	0.00860999	0.0108893	0.00813561	0.00782466	0.00732004	0.0084683	0.00801243	0.0088177	0.00826585	0.00861164	0.00732989	0.00935786	0.0081991	0.00768106	0.00817756	0.010403	0.00907701	0.0070802	0.00953238	0.00892813	0.00963215	0.00837909	0.00791779	0.00983161	0.00753203	0.00789354	0.0079761	0.00815685	0.00849217	0.00930729	0.00759039	0.00817341	0.00924981	0.0083905	0.00902554	0.00786326	0.00973616	0.00905956	0.00915513	0.00777434	0.00776381	0.00827952	0.00827421	0.0081581	0.00822527	0.00891462	0.0101506	0.00877215	0.00950846	0.00836752	0.00863258	0.00894216	0.00839606	0.00789973	0.00930652	0.00837326	0.0103103	0.00860212	0.0088799	0.00767956	0.00864695	0.0100143	0.0111872
ko03430: Mismatch repair	0.0175006	0.017003	0.016764	0.0164193	0.0170842	0.0160366	0.0168012	0.0173228	0.0162436	0.0172219	0.0168159	0.0176477	0.0167283	0.0175643	0.0201436	0.0159246	0.0178964	0.0173509	0.0166457	0.0172596	0.0177247	0.0184859	0.016732	0.0163003	0.0173491	0.0184315	0.0173691	0.0191688	0.0165564	0.0159037	0.0146104	0.0164162	0.0169352	0.0166083	0.0167464	0.0169198	0.0163513	0.0170651	0.0169941	0.0159168	0.0167853	0.0160969	0.0173162	0.016723	0.0174145	0.0163234	0.0172455	0.0164631	0.0166558	0.0176453	0.0156032	0.0171192	0.0162589	0.0174315	0.0166111	0.0172768	0.0168709	0.0160789	0.0176897	0.01516	0.0172912	0.0174142	0.0154496	0.0169054	0.0176473	0.0154572	0.0164077	0.0157635	0.0173034	0.0170595	0.0175552	0.0169157	0.0175642	0.0170135	0.0169427	0.0167836	0.0167225	0.0155419	0.0166405	0.0162873	0.0168912	0.0153086	0.0167523	0.01676	0.0167062	0.0162509	0.0170722	0.0163258	0.0196213
ko03440: Homologous recombination	0.0174631	0.0177623	0.0171133	0.0164101	0.01611	0.0160055	0.016579	0.0172055	0.0156102	0.0165794	0.0175001	0.0176909	0.0173232	0.0159249	0.0180753	0.0160037	0.0167962	0.0166105	0.0167318	0.0171341	0.0170902	0.0184433	0.0170522	0.0168229	0.017024	0.0174687	0.0162364	0.0194412	0.0158935	0.0153404	0.0156868	0.0168112	0.016289	0.01681	0.0163806	0.0167588	0.015087	0.0177654	0.016133	0.0150712	0.0159999	0.0175562	0.0170492	0.0170634	0.017383	0.016778	0.0174117	0.0163539	0.0155544	0.0177228	0.0156945	0.0156891	0.0155763	0.0171828	0.0165591	0.0179653	0.0160214	0.0161634	0.0180287	0.0157384	0.017097	0.0174467	0.0166486	0.0178948	0.0171691	0.0153221	0.0158569	0.0157703	0.0167135	0.0162114	0.0167917	0.0164566	0.0185842	0.0169086	0.0173892	0.0167687	0.0164132	0.0157183	0.0155291	0.0161225	0.017371	0.015988	0.0167377	0.0163676	0.0165813	0.0153808	0.015695	0.0185341	0.0195922
ko03450: Non-homologous end-joining	5.39166e-05	1.09458e-05	5.27516e-05	2.66078e-05	0.000109249	1.97843e-05	0.00018692	4.63549e-05	4.72244e-07	0.000108848	2.79368e-05	9.11925e-05	8.62855e-05	1.19672e-05	2.89655e-05	0.000210897	4.47422e-05	5.51578e-05	2.38718e-05	1.00037e-05	5.99371e-05	7.80642e-05	8.25532e-05	6.52403e-05	0.000122437	7.98584e-05	3.45113e-05	0.000122535	7.39352e-05	8.60073e-05	3.30422e-05	5.73008e-05	5.42968e-05	4.23828e-05	9.66148e-05	0.000111441	1.41018e-05	3.08176e-05	4.70918e-05	0.000137467	0.000213539	4.31088e-05	0.00010706	5.88078e-06	0.000271757	7.67275e-05	0.000124009	0.000162881	1.32888e-05	1.80398e-05	8.27652e-05	1.52026e-05	4.50892e-05	9.59471e-05	3.62604e-06	0.000229122	1.55761e-05	3.2851e-05	1.83698e-05	4.07093e-05	0.000140449	0.000125381	3.82126e-05	1.00373e-05	7.39965e-05	1.59323e-05	0.000169838	1.39213e-05	9.30639e-05	0.00010921	0.000215737	0.000100042	6.34696e-05	4.10735e-05	7.46046e-05	9.82433e-05	5.99904e-05	0.000146616	4.14474e-05	7.66611e-05	3.29247e-05	2.84157e-05	2.79581e-05	9.1273e-05	3.6459e-05	5.30172e-05	0.000108382	1.73354e-05	0.000107454
ko04010: MAPK signaling pathway	2.61381e-06	4.05547e-06	7.19533e-06	2.34986e-06	4.63279e-06	5.83031e-06	5.44142e-06	2.12535e-06	3.76976e-06	4.74817e-06	4.94546e-06	9.38035e-06	2.00837e-06	3.90644e-06	4.86347e-06	4.88748e-06	9.98089e-07	1.77774e-06	7.10904e-06	2.34956e-06	3.10906e-06	3.97845e-06	1.17065e-05	2.86077e-06	2.45086e-06	3.2992e-06	4.75441e-06	7.74953e-06	2.18974e-06	5.04471e-06	4.46925e-06	3.96251e-06	3.06085e-06	1.97022e-06	3.64105e-06	4.44529e-06	2.47642e-06	5.52124e-06	2.97305e-06	5.12281e-06	3.89313e-06	6.05562e-06	3.64232e-06	7.72235e-06	2.2918e-06	3.41678e-06	2.7147e-06	2.69538e-06	1.67454e-06	1.84871e-06	4.07164e-06	2.03057e-06	5.44865e-06	3.02032e-06	3.19527e-06	4.65686e-06	1.26674e-06	1.51173e-06	4.71345e-06	4.41113e-06	3.06247e-06	7.2332e-06	6.30963e-06	2.46451e-06	3.49276e-06	2.30207e-06	3.632e-06	4.09378e-06	7.6613e-06	4.5698e-06	3.67544e-06	5.62114e-06	3.83772e-06	5.45027e-06	3.83101e-06	1.09515e-06	3.81711e-06	6.59829e-06	6.94655e-06	1.10718e-06	1.08095e-05	3.43719e-06	5.12206e-06	1.22898e-06	3.79137e-06	3.74275e-06	3.34158e-06	5.20128e-06	6.15585e-06
ko04011: MAPK signaling pathway - yeast	5.34119e-05	5.92794e-05	5.84542e-05	4.72864e-05	7.6829e-05	8.06635e-05	5.32439e-05	8.06741e-05	5.64518e-05	7.78277e-05	4.04029e-05	8.37974e-05	7.01555e-05	6.16198e-05	7.25504e-05	7.09564e-05	3.815e-05	4.50341e-05	6.1627e-05	5.64566e-05	4.54463e-05	4.11196e-05	3.88674e-05	7.21975e-05	7.39936e-05	5.60712e-05	7.71888e-05	4.82799e-05	7.73813e-05	5.62108e-05	3.80162e-05	5.18501e-05	6.00173e-05	5.2997e-05	6.71137e-05	7.32848e-05	7.39977e-05	4.49337e-05	5.47879e-05	7.09899e-05	9.51698e-05	6.34053e-05	4.66528e-05	2.34959e-05	4.37935e-05	2.95868e-05	4.46811e-05	4.99927e-05	5.5815e-05	5.26476e-05	4.17063e-05	5.94078e-05	7.11588e-05	5.0378e-05	4.74714e-05	4.72675e-05	7.72926e-05	7.39109e-05	3.45532e-05	2.81872e-05	6.63301e-05	4.05961e-05	5.85254e-05	5.67313e-05	5.7587e-05	5.21789e-05	8.26628e-05	6.45661e-05	7.25818e-05	6.34138e-05	5.19138e-05	4.23024e-05	6.21825e-05	5.89684e-05	4.90339e-05	6.40624e-05	3.51663e-05	4.71247e-05	8.17867e-05	5.61559e-05	5.43769e-05	6.39206e-05	4.45339e-05	7.59843e-05	4.41357e-05	4.77e-05	6.25002e-05	6.92979e-05	4.66379e-05
ko04012: ErbB signaling pathway	0	3.21189e-07	0	0	0	0	1.92808e-06	1.24879e-06	0	0	1.08744e-06	0	8.12757e-07	0	5.0107e-06	1.38377e-06	6.50897e-07	5.2994e-07	2.60237e-06	1.02654e-06	0	3.84478e-06	1.55162e-06	0	4.33563e-06	2.62168e-06	1.46471e-06	3.40916e-06	6.91338e-07	3.57832e-06	0	1.1875e-06	6.22188e-07	7.46107e-07	0	4.63642e-06	0	0	8.97651e-07	0	0	7.05013e-07	3.17013e-06	2.17377e-07	2.82611e-06	6.03965e-06	3.16905e-06	2.26618e-06	0	0	1.13131e-06	3.035e-06	0	0	0	9.34483e-07	5.24859e-07	1.78025e-06	1.87529e-06	1.00001e-06	0	8.78391e-07	1.04139e-05	6.73282e-06	1.13225e-06	7.22246e-07	0	1.59629e-06	1.25731e-06	0	0	0	0	5.0626e-07	0	5.94534e-07	3.24388e-06	0	5.90083e-07	0	0	0	1.36922e-06	0	0	0	7.35559e-06	1.46844e-05	3.55725e-06
ko04013: MAPK signaling pathway - fly	1.53037e-07	3.19333e-07	3.66201e-07	3.5084e-08	4.66508e-07	7.67545e-07	6.04101e-08	2.63946e-07	1.4103e-07	1.34976e-07	1.08711e-07	5.05214e-08	3.39571e-07	0	1.31407e-07	1.62015e-07	2.1261e-07	3.23554e-08	1.65216e-08	4.65514e-07	2.15701e-06	8.42357e-08	6.50508e-08	4.33764e-07	3.36074e-07	2.34764e-07	1.48137e-07	1.54438e-06	1.53079e-07	1.02352e-07	1.02643e-07	3.77711e-09	1.58609e-07	2.79157e-07	1.53916e-07	2.53601e-07	0	1.91967e-07	8.46681e-08	5.18929e-08	3.91691e-07	5.83238e-08	1.61866e-07	4.60485e-07	1.35209e-07	5.76554e-08	8.6564e-08	1.86737e-07	1.31007e-08	1.4858e-07	0	1.1149e-07	7.76969e-06	1.67888e-07	1.34014e-06	5.71574e-08	3.33354e-09	1.60014e-07	3.73893e-06	3.23765e-06	8.28253e-06	4.16616e-08	1.82185e-07	3.11816e-08	3.86851e-06	5.62353e-07	2.89329e-08	1.16751e-07	4.38809e-08	5.87241e-08	1.56732e-07	9.1012e-09	2.38836e-07	2.20252e-07	1.08885e-07	9.36904e-08	1.0118e-07	2.02768e-06	3.24522e-07	9.74342e-08	1.13793e-07	1.76998e-07	1.9109e-07	6.08108e-08	7.34679e-08	5.48223e-06	1.00871e-07	1.19667e-05	1.68073e-07
ko04020: Calcium signaling pathway	1.43114e-05	1.549e-05	1.70969e-05	1.54759e-05	1.35936e-05	1.42114e-05	0	1.65847e-05	1.5268e-05	1.81371e-05	1.6717e-05	2.27638e-05	1.50707e-05	1.42775e-05	1.91102e-05	1.67129e-05	0	1.60381e-05	0	0	2.35526e-05	1.88095e-05	0	1.6062e-05	1.78101e-05	1.69095e-05	1.45626e-05	2.44065e-05	1.52454e-05	1.80173e-05	1.11218e-05	1.66531e-05	0	1.80353e-05	1.08038e-05	1.87108e-05	1.56246e-05	2.32546e-05	0	0	1.76254e-05	1.63339e-05	1.94351e-05	0	1.74441e-05	1.83242e-05	0	1.58485e-05	1.4591e-05	1.8453e-05	1.63523e-05	2.16971e-05	1.58707e-05	1.20899e-05	1.64262e-05	1.74736e-05	1.68766e-05	1.90427e-05	2.42513e-05	1.21051e-05	0	0	1.48274e-05	1.6012e-05	1.88416e-05	0	1.92406e-05	1.98835e-05	1.6283e-05	1.52849e-05	0	1.48443e-05	0	0	1.55007e-05	1.60553e-05	1.67284e-05	1.79387e-05	1.98044e-05	2.0875e-05	1.63086e-05	2.26759e-05	2.04102e-05	1.69568e-05	1.74583e-05	1.60454e-05	2.37917e-05	0	2.08045e-05
ko04060: Cytokine-cytokine receptor interaction	9.02656e-07	1.21428e-06	1.10086e-06	2.84879e-07	1.25284e-06	3.7382e-07	2.86377e-06	4.0969e-08	1.24803e-07	4.63101e-07	1.32875e-06	3.55641e-07	1.79649e-06	4.47295e-07	1.38122e-06	3.27386e-07	4.32545e-08	3.09987e-06	7.23168e-07	1.36286e-07	2.90536e-07	3.19271e-07	1.04269e-07	9.54901e-08	1.19862e-06	9.9961e-08	1.71689e-07	7.39347e-07	1.28571e-06	1.03269e-06	9.91028e-07	5.57209e-07	3.52389e-07	7.57351e-08	1.69487e-07	1.65003e-07	7.45991e-07	1.7259e-07	2.73355e-07	2.00256e-07	1.17813e-07	1.68293e-06	4.97248e-07	2.27853e-06	2.71538e-07	3.74692e-07	5.0694e-07	1.11606e-07	3.20426e-08	4.68522e-07	1.64212e-07	1.02402e-07	1.24825e-07	3.74402e-07	1.76397e-06	2.42691e-07	1.88262e-07	7.78104e-07	2.8701e-07	1.19038e-06	5.45529e-07	6.61167e-07	1.59213e-06	1.51733e-06	1.5857e-06	7.32228e-08	4.4467e-07	1.58833e-07	3.28082e-07	1.77212e-07	5.23696e-07	2.5537e-07	2.33012e-06	1.95005e-07	1.47871e-06	1.86599e-06	7.677e-07	2.51022e-07	1.53347e-07	2.68053e-07	2.95798e-07	1.97477e-07	6.10186e-07	1.56818e-08	1.71483e-06	2.23969e-07	2.77354e-06	1.21535e-06	1.94947e-07
ko04062: Chemokine signaling pathway	2.93636e-09	8.02656e-10	1.48668e-08	2.45226e-09	3.82109e-09	6.97525e-09	2.50736e-07	7.05174e-09	1.85493e-08	4.19544e-09	1.25014e-09	1.05111e-06	1.55312e-08	0	3.18949e-09	7.21383e-09	1.70812e-09	0	2.53171e-08	4.61709e-09	0	4.00714e-09	4.74107e-08	2.23376e-08	8.15987e-08	1.33924e-08	1.67857e-08	5.37731e-08	5.29652e-09	0	1.48758e-09	6.71669e-09	2.317e-08	0	4.20428e-09	4.35343e-08	7.53796e-10	1.91133e-08	0	3.64588e-10	9.86982e-09	2.66476e-08	2.58973e-09	2.59845e-08	1.88091e-08	1.71723e-09	1.34673e-09	5.44561e-07	1.28454e-07	5.26921e-09	0	0	2.69014e-08	0	0	5.05019e-09	9.57442e-10	8.56607e-07	7.90348e-09	7.23855e-09	0	2.21672e-08	3.27075e-07	2.52685e-08	0	4.8919e-09	4.94864e-09	7.07362e-07	7.77562e-09	8.78183e-09	0	1.24984e-07	3.35278e-07	4.69568e-09	1.28649e-09	2.06819e-08	1.95565e-08	2.17822e-09	4.62427e-09	1.32797e-09	3.19154e-09	6.46734e-09	4.32916e-09	1.3612e-08	7.62072e-09	7.64899e-09	5.08165e-08	8.3889e-08	2.11908e-08
